# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
csdgogbuild.exe	Cook, Serve, Delicious!
csdsteambuild.exe	Cook, Serve, Delicious!
csgo.exe	Counter-Strike: Global Offensive
cssecretsanta/cave story's secret santa.exe	Cave Story's Secret Santa
cthulhu saves the world/cstw.exe	Cthulhu Saves the World
cube escape collection/cubeescapecollection.exe	Cube Escape Collection
cube escape paradox/cubeescapeparadox.exe	Cube Escape: Paradox
cube racer 2/cuberacer2.exe	Cube Racer 2
cube racer/cuberacer.exe	Cube Racer
cube world/cubeworld.exe	Cube World
cubic castles/cubic.exe	Cubic Castles
cuckold simulator life as a beta male/cuckoldsimulator.exe	CUCKOLD SIMULATOR
cucumber/banana and cucumber.exe	Banana & Cucumber
cuisine royale/win64/enlisted.exe	CRSED: F.O.A.D.
cuisineer/cuisineer.exe	Cuisineer
cult of the lamb/cult of the lamb.exe	Cult of the Lamb
cultic demo/cultic.exe	CULTIC Demo
cultic/cultic.exe	CULTIC
cultist simulator/cultistsimulator.exe	Cultist Simulator
cultures 8th wonder/game.exe	Cultures: 8th Wonder of the World
cultures northland/game.exe	Cultures: Northland
cuphead.exe	Cuphead
cureocity/cureocity.exe	Cureocity
curious expedition 2/ce2.exe	Curious Expedition 2
curiouscases/curiouscases.exe	Curious Cases
curse of the dead gods/curse of the dead gods.exe	Curse of the Dead Gods
cursed to golf/cursed to golf.exe	Cursed to Golf
cursorblade/cursorblade_1.0.exe	Cursorblade
cute honey 2/cutehoney2.exe	Cute Honey 2
cute honey/cutehoney.exe	Cute Honey
cw3.exe	Creeper World 3: Arc Eternal
cyanbrain/cyanbrain.exe	CYAN BRAIN
cyber hook demo/cyberhook.exe	Cyber Hook Demo
cyber hook/cyberhook.exe	Cyber Hook
cyber knights flashpoint/cyberknights.exe	Cyber Knights: Flashpoint
cybermanhunt/cybermanhunt.exe	Cyber Manhunt
cyberpunk2077.exe	Cyberpunk 2077
cyberpunkdreams/cyberpunkdreams.exe	cyberpunkdreams
cycle idle rpg/cycle idle rpg.exe	Cycle Idle RPG
cypher/cypher.exe	Cypher
cyphers.exe	Cyphers Game
d1al-ogue/d1al-ogue.exe	D1AL-ogue
d4x/d4x.exe	Dune: Spice Wars
dagon/dagon.exe	Dagon
daisenka/daisenka.exe	Glory & Miserable Survivors DX
daisho survival of a samurai/daisho.exe	Daisho: Survival of a Samurai
dale&dawson/ddss.exe	Dale & Dawson Stationery Supplies
damned/damned.exe	Damned
damnosaur/damnosaur.exe	DAMNOSAUR
dandara.exe	Dandara
dandyace/dandyace.exe	Dandy Ace
danganronpa another episode ultra despair girls/game.exe	Danganronpa Another Episode: Ultra Despair Girls
danganronpa v3 killing harmony demo/dangan3win.exe	Danganronpa V3: Killing Harmony Demo Ver.
danganronpa v3 killing harmony/dangan3win.exe	Danganronpa V3: Killing Harmony
danganronpa.exe	Danganronpa: Trigger Happy Havoc
dangerous waters/steamrun.exe	Dangerous Waters
dankagupl/dankagupl.exe	Touhou Danmaku Kagura: Phantasia Lost
daorigins.exe	Dragon Age: Origins
daorigins.exe	Dragon Age: Origins - Ultimate Edition
darfall/darfall.exe	Darfall
dark deity 2/darkdeity2.exe	Dark Deity II
dark deity/darkdeity.exe	Dark Deity
dark devotion/darkdevotion.exe	Dark Devotion
dark echo/darkecho.exe	Dark Echo
dark elf/game.exe	Dark Elf
dark forces/dosbox/dosbox.exe	Star Wars: Dark Forces
dark messiah might and magic multi-player/mm.exe	Dark Messiah of Might & Magic Multi-Player
dark messiah might and magic single player/mm.exe	Dark Messiah of Might and Magic
dark riddle/darkriddle.exe	Dark Riddle
dark roll free kick challenge/dark roll free kick challenge.exe	Dark Roll: Free Kick Challenge
dark souls prepare to die edition/data/darksouls.exe	Dark Souls: Prepare to Die Edition
dark souls remastered/darksoulsitemrandomizer.exe	Dark Souls: Remastered
dark souls remastered/enemyrandomizer.exe	Dark Souls: Remastered
darkenstein 3d/darkenstein3d.exe	Darkenstein 3D
darkest hour.exe	Darkest Hour: A Hearts of Iron Game
darkest houren.exe	Darkest Hour: A Hearts of Iron Game
darkest hourkr.exe	Darkest Hour: A Hearts of Iron Game
darkest.exe	Darkest Dungeon
darkfall roa/darkfall_roa.exe	Rise of Agon
darkfall roa/data/darkfall.exe	Rise of Agon
darkfall.exe	Rise of Agon
darkfall_roa.exe	Rise of Agon
darkfallroa/darkfall_roa.exe	Rise of Agon
darknessii.exe	The Darkness II
darksburg/darksburg.exe	Darksburg
darkside/kbdarkside.exe	King's Bounty: Dark Side
darksiders/dsinstaller.exe	Darksiders
darksiders1.exe	Darksiders: Warmastered Edition
darksiders2.exe	Darksiders II: Deathinitive Edition
darksiders3.exe	Darksiders III
darksiderspc.exe	Darksiders: Warmastered Edition
darksouls.exe	Dark Souls: Remastered
darksoulsii.exe	DARK SOULS II: Scholar of the First Sin
darksoulsii.exe	Dark Souls II
darksoulsiii.exe	DARK SOULS III
darksoulsremastered.exe	Dark Souls: Remastered
darkstarone.exe	DarkStar One
darkstory online/darkstory.exe	DarkStory Online
darkswords/darkswords.exe	Dark Swords
darkwater/darkwater.exe	Darkwater
darkwood.exe	Darkwood
darq/darq.exe	DARQ
darwin-win64-shipping.exe	Darwin Project
darwin.exe	Darwin Project
darwinia/darwinia.exe	Darwinia
darza's dominion/darzasdominion.exe	Darza's Dominion
data/darkfall.exe	Rise of Agon
data/x2.exe	Elsword
data/ym.exe	Yarimono
datapack/trialsrising.exe	Trials Rising
date a live rio reincarnation/date a live rio-reincarnation.exe	Date A Live: Rio Reincarnation
date banger/game.exe	Date Banger
date everything/date everything.exe	Date Everything!
dauntless-win64-shipping.exe	Dauntless
dave the diver/davethediver.exe	Dave the Diver
dave's fun algebra class remastered/dfac.exe	Dave's Fun Algebra Class: Remastered
davigo demo/davigo.exe	Davigo
davigo/davigo.exe	DAVIGO
dawn of fantasy/dof.exe	Kingdom Wars
dawn of war dark crusade/darkcrusade.exe	Warhammer 40,000: Dawn of War - Dark Crusade
dawn of war dark crusade/graphicsconfig.exe	Warhammer 40,000: Dawn of War - Dark Crusade
dawn of war definitive edition/w40k.exe	Warhammer 40,000: Dawn of War - Definitive Edition
dawn of war gold/graphicsconfig.exe	Warhammer 40,000: Dawn of War - Game of the Year Edition
dawn of war gold/w40k.exe	Warhammer 40,000: Dawn of War - Game of the Year Edition
dawn of war soulstorm/4gb_patch.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager 1.3.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v1.4.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v1.52.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v2.1.3.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v2.1.5.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v2.1.6.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v2.1.9.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v2.3.1.0.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/dow mod manager v2.3.2.2.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/graphicsconfig.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/tyranid_mod_0.5b3_installer.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawn of war soulstorm/tyranidsuninstall.exe	Warhammer 40,000: Dawn of War - Soulstorm
dawnlands/dawnlands.exe	Dawnlands
dawnofman.exe	Dawn of Man
day of defeat source/hl2.exe	Day of Defeat: Source
day of the tentacle remastered/dott.exe	Day of the Tentacle Remastered
dayofinfamy.exe	Day of Infamy
dayofinfamy_be.exe	Day of Infamy
dayz exp/dayzuninstaller.exe	DayZ Experimental
dayz.exe	DayZ
dayz/dayzuninstaller.exe	DayZ
dayz_x64.exe	DayZ
dayzserver/dayzserver_x64.exe	DayZ Server
db xenoverse 2/start.exe	Dragon Ball: Xenoverse 2
db xenoverse 2/xv2characreat.exe	Dragon Ball: Xenoverse 2
db xenoverse 2/xv2ins.exe	Dragon Ball: Xenoverse 2
db xenoverse 2/xv2skilcreat.exe	Dragon Ball: Xenoverse 2
dbfighterz.exe	Dragon Ball FighterZ
dbxv.exe	Dragon Ball: Xenoverse
dbxv2.exe	Dragon Ball: Xenoverse 2
dcgame.exe	DC Universe Online
dcs.exe	DCS World
ddda.exe	Dragon's Dogma: Dark Arisen
ddlc.exe	Doki Doki Literature Club!
ddnet/ddnet-server.exe	DDraceNetwork
ddnet/ddnet.exe	DDraceNetwork
ddo.exe	Dragon's Dogma Online
dead bits/dead bits.exe	Dead Bits
dead cide club/dcc_be.exe	SIDE BULLET
dead effect 2 vr/deadeffect2.exe	Dead Effect 2 VR
dead effect 2/deadeffect2.exe	Dead Effect 2
dead estate demo/dead estate.exe	Dead Estate Demo
dead estate/dead estate.exe	DEAD ESTATE
dead in bermuda/dead in bermuda.exe	Dead In Bermuda
dead in vinland/dead in vinland.exe	Dead In Vinland
dead island epidemic/dead island epidemic - crib.exe	Dead Island: Epidemic
dead island retro revenge/deadislandretrorevenge.exe	Dead Island Retro Revenge
dead or alive 6/doa6.exe	Dead or Alive 6
dead or school/deadorschool.exe	Dead or School
dead rising 2 off the record/deadrising2otr.exe	Dead Rising 2: Off the Record
dead rising deluxe remaster/drdr.exe	Dead Rising Deluxe Remaster
dead rising/deadrising.exe	Dead Rising
dead seater/dead seater.exe	Dead Seater
dead space 3/deadspace3.exe	Dead Space 3
dead space.exe	Dead Space
dead state/zrpg.exe	Dead State
deadage.exe	Dead Age
deadbolt/deadbolt_game.exe	DEADBOLT
deadbydaylight-egs-shipping.exe	Dead by Daylight
deadbydaylight-win64-shipping.exe	Dead by Daylight
deadcells.exe	Dead Cells
deadcore.exe	DeadCore
deadeffect/deadeffect.exe	Dead Effect
deadfrontier2.exe	Dead Frontier 2
deadislandgame.exe	Dead Island: Definitive Edition
deadislandgame_x86_rwdi.exe	Dead Island: Riptide - Definitive Edition
deadislandriptidegame.exe	Dead Island: Riptide - Definitive Edition
deadliest catch the game/deadliestcatch.exe	Deadliest Catch: The Game
deadly days/deadly days.exe	Deadly Days
deadly30.exe	Deadly 30
deadmaze.exe	Dead Maze
deadrealm/deadrealm.exe	Dead Realm
deadrising2.exe	Dead Rising 2
deadrising3.exe	Dead Rising 3
deadrising4/deadrising4.exe	Dead Rising 4
deadspace2.exe	Dead Space 2
deadswitch 3/deadswitch3.exe	Deadswitch 3
dealer simulator/dealer simulator.exe	Storage Dealer Simulator
dealerslife/dealer's life.exe	Dealer's Life
dealerslife2/dealerslife2.exe	Dealer's Life 2
dear esther landmark edition/dearesther.exe	Dear Esther: Landmark Edition
death and taxes demo/death and taxes.exe	Death and Taxes Demo
death and taxes/death and taxes.exe	Death and Taxes
death in the water 2/death in the water 2.exe	Death in the Water 2
death must die demo/death must die.exe	Death Must Die Demo
death must die/death must die.exe	Death Must Die
death note killer within/death note killer within.exe	Death Note: Killer Within
death rally/dr.exe	Death Rally
death squared/deathsquared.exe	Death Squared
death stranding/ds.exe	Death Stranding: Director's Cut
death trash demo/deathtrash.exe	Death Trash Demo
death trash/deathtrash.exe	Death Trash
death's door/deathsdoor.exe	Death's Door
death's gambit/deathsgambit397.exe	Death's Gambit
deathcoming/xdeath.exe	Death Coming
deathless tales of old rus/deathless.exe	Deathless: The Hero Quest
deathless/deathless.exe	Deathless
deathloop/deathloop.exe	DEATHLOOP
deathroadtocanada/prog.exe	Death Road to Canada
deathsmiles/default.exe	Deathsmiles
deathtrap/deathtrap_x64.exe	Deathtrap
deathwatchers/deathwatchers.exe	DEATHWATCHERS
deblob.exe	de Blob
deblob2.exe	De Blob 2
debugger 316/debugger.exe	Debugger 3.16: Hack'n'Run
decay - the mare/decay - the mare.exe	Decay: The Mare
deceit.exe	Deceit
deceiveinc/deceiveinc.exe	Deceive Inc.
decent icons/decenticonswpf.exe	Decent Icons
ded/game.exe	DED
deduction/deduction.exe	Deducto
deducto2/deducto2.exe	Deducto 2
deeeer simulator/deeeer simulator.exe	DEEEER Simulator
deemo -reborn-/deemo -reborn-.exe	Deemo: Reborn
deep rock survivor/drg survivor.exe	Deep Rock Galactic: Survivor
deep sky derelicts/deep sky derelicts.exe	Deep Sky Derelicts
deep sleep trilogy/deepsleep.exe	Deep Sleep Trilogy
deep space cache/deep space cache.exe	Deep Space Cache
deep space waifu fantasy/deep space waifu fantasy.exe	DEEP SPACE WAIFU: FANTASY
deep space waifu justice/deep space waifu flat justice.exe	DEEP SPACE WAIFU: FLAT JUSTICE
deep space waifu nekomimi/deep space waifu nekomimi.exe	DEEP SPACE WAIFU: NEKOMIMI
deep space waifu world/deep space waifu world.exe	Deep Space Waifu: World
deep space waifu.exe	DEEP SPACE WAIFU
deep the game/nw.exe	Deep
deepdungeonsofdoom/ddd.exe	Deep Dungeons of Doom
deepest sword/deepest sword.exe	Deepest Sword
default/saleblazers.exe	Saleblazers
defensegrid2_release.exe	Defense Grid 2
defensegridtheawakening/defensegrid.exe	Defense Grid: The Awakening
defiance 2050/glyphclientapp.exe	Defiance 2050
defiance.exe	Defiance
defiance/glyphclientapp.exe	Defiance
deflector specimen zero/deflector.exe	Deflector: Specimen Zero
defy gravity/defygravity.exe	Defy Gravity
degrees of separation/dofs.exe	Degrees of Separation
deiland/deiland.exe	Deiland
deisim/deisim.exe	Deisim
delicious! pretty girls mahjong solitaire/deliciouspgms.exe	Delicious! Pretty Girls Mahjong Solitaire
delivery-beyond/delivery-beyond.exe	Delivery & Beyond
delores/delores.exe	Delores: A Thimbleweed Park Mini-Adventure
delta force black hawk down/dfbhd.exe	Delta Force: Black Hawk Down
delta force land warrior/dflw.exe	Delta Force: Land Warrior
delta particles/delta_particles.exe	Delta Particles
deltaforceclient.exe	Delta Force
deltarune/deltarune.exe	Deltarune
deltarunedemo/deltarune.exe	DELTARUNE (Chapter 1 & 2 DEMO)
deluxe/defendersquest.exe	Defender's Quest: Valley of the Forgotten
demeo - pc edition demo/demeo.exe	Demeo - PC Edition Demo
demeo - pc edition/demeo.exe	Demeo: PC Edition
demeo/demeo.exe	Demeo
demise of nations - rome/app_main.exe	Demise of Nations
demo/spilled!.exe	Spilled!
demo6/lawyer_guy_demo_6.exe	Lawyer Guy: Defender of Justice
democracy 4/democracy4.exe	Democracy 4
democracy3.exe	Democracy 3
demolish & build 2018/demolish.exe	Demolish & Build 2018
demolish & build 3 excavator playground/demolish & build 3 excavator playground.exe	Demolish & Build 3: Excavator Playground
demolish & build company/demolish.exe	Demolish & Build 2017
demon turf/demon turf.exe	Demon Turf
demoncrawl/demoncrawl.exe	DemonCrawl
denizen/denizen.exe	Denizen
depersonalization/depersonalization-release.exe	Depersonalization
deployment/deployment.exe	Deployment
deponia doomsday/deponia4.exe	Deponia Doomsday
deponia.exe	Deponia
deponia.exe	Deponia: The Complete Journey
depraved/depraved.exe	Depraved
depressionquest.exe	Depression Quest
depthgame.exe	Depth
derail valley/derailvalley.exe	Derail Valley
descenders.exe	Descenders
descent road to legend/road to legend.exe	Descent: Road to Legend
descent.exe	Descent: Underground
desert stalker/desertstalker.exe	Desert Stalker
desertlegend/desertlegend.exe	Sands of Salzaar
desertsofkharak32.exe	Homeworld: Deserts of Kharak
desertsofkharak64.exe	Homeworld: Deserts of Kharak
desktop defender/desktop defender.exe	Desktop Defender
desktop dungeons/desktopdungeons.exe	Desktop Dungeons
desktop farm/desktopfarm.exe	Desktop Farm
desktop garage kit/desktop garage kit.exe	Desktop Garage Kit
desktop kanojo/desktopkanojo.exe	Desktop Kanojo
desktop mate/desktopmate.exe	Desktop Mate
desktop ricardo/desktopricardo.exe	Desktop Dаnce
desktop survivors 98/ds98.exe	Desktop Survivors 98
deskworm/deskworm.exe	Deskworm
desolate/binaries/win64/sh-win64-shipping.exe	Desolate
desperados iii demo/desperados iii.exe	Desperados III Demo
desperados iii/desperados iii.exe	Desperados III
desperados wanted dead or alive/desperados.exe	Desperados: Wanted Dead or Alive
despot's game/despot's game.exe	Despot's Game: Dystopian Army Builder
despotism 3k/despotism3k.exe	Despotism 3k
destined to die/destinedtodie.exe	Destined to Die
destined/destined.exe	Destined
destiny2.exe	Destiny 2
destroyer the u-boat hunter/destroyer the u-boat hunter.exe	Destroyer: The U-Boat Hunter
detective grimoire/detective grimoire.exe	Detective Grimoire: Secret of the Swamp
detention/detention.exe	Detention
detroit become human demo/detroitbecomehuman.exe	Detroit: Become Human Demo
detroit become human/detroitbecomehuman.exe	Detroit: Become Human
deus ex the fall/deusex_steam.exe	Deus Ex: The Fall
deusex.exe	Deus Ex: Game of the Year Edition
devil may cry 3/dmc3se.exe	Devil May Cry 3: Dante's Awakening - Special Edition
devil may cry 5/devilmaycry5.exe	Devil May Cry 5
devildaggers/dd.exe	Devil Daggers
devilian.exe	Devilian
devilian/glyphclientapp.exe	Devilian
devilmaycry4_dx10.exe	Devil May Cry 4: Special Edition
devilmaycry4_dx9.exe	Devil May Cry 4: Special Edition
devilmaycry4specialedition.exe	Devil May Cry 4: Special Edition
devimaycry4.exe	Devil May Cry 4: Special Edition
devotion/devotion.exe	DEVOTION
devour/devour.exe	DEVOUR
dex/dex.exe	Dex
df_garena/deltaforceclient.exe	Delta Force
dfo.exe	Dungeon Fighter Online
dftfd.exe	Delta Force: Task Force Dagger
diablo ii resurrected/d2r.exe	Diablo II: Resurrected – Infernal Edition
diablo ii.exe	Diablo II
diablo ii/game.exe	Diablo II
diablo iii.exe	Diablo III
diablo iii64.exe	Diablo III
diablo iv/diablo iv.exe	Diablo IV
diablo.exe	Diablo
diadraempty.exe	Diadra Empty
diadraempty154lw.exe	Diadra Empty
diadraempty154plus.exe	Diadra Empty
dialtown phone dating sim demo/dialtown demo.exe	Dialtown: Phone Dating Sim Demo
dialtown phone dating sim/dialtown.exe	Dialtown: Phone Dating Sim
diaries of a spaceport janitor/diaries_7.6_win.exe	Diaries of a Spaceport Janitor
dice & fold/dice & fold.exe	Dice & Fold
dice-kingdoms/dice-kingdoms.exe	Dice Kingdoms
dicefolk/dicefolk.exe	Dicefolk
diceomancer/diceomancer.exe	DICEOMANCER
dicey dungeons/diceydungeons.exe	Dicey Dungeons
dictatorsnopeacecountryballs/dictatorsnopeacecountryballs.exe	Dictators:No Peace Countryballs
die in the dungeon origins/die in the dungeon origins.exe	Die in the Dungeon: Origins
die in the dungeon prologue/die in the dungeon.exe	Die in the Dungeon: Classic
die in the dungeon/die in the dungeon.exe	Die in the Dungeon
